"gauge_RM","gauge","RM","MFR2","distance"
"08313000_100","08313000","100",0.0374733865531434,211202.253021852
"08313000_101","08313000","101",0.0416676121444047,209960.301973641
"08313000_102","08313000","102",0.129564447962616,209136.468928182
"08313000_103","08313000","103",0.149588038330656,208016.827631084
"08313000_104","08313000","104",0.18201874102732,206837.938117901
"08313000_105","08313000","105",0.252497727389547,205409.24450571
"08313000_135","08313000","135",0.068636055500821,166798.860768438
"08313000_136","08313000","136",0.094113254439299,165222.000325028
"08313000_137","08313000","137",0.0977990002082123,163659.261759483
"08313000_138","08313000","138",0.109405172352128,162276.755449823
"08313000_158","08313000","158",0.00914577078963197,135188.797304742
"08313000_162","08313000","162",0.138023367380691,129125.520819943
"08313000_163","08313000","163",0.125740334816669,127779.287488246
"08313000_164","08313000","164",0.114368963126677,126300.241791245
"08313000_165","08313000","165",0.171964689959136,124999.61457853
"08313000_63","08313000","63",6.57853515524387e-05,264399.483843475
"08313000_64","08313000","64",6.57853515522167e-05,262854.449639602
"08313000_65","08313000","65",1.99353037773076e-05,261381.384100034
"08313000_66","08313000","66",0.000388958743471002,259766.185815848
"08313000_67","08313000","67",0.000388958743470003,258687.918472842
"08313000_68","08313000","68",0.000877580895388252,257190.310081775
"08313000_69","08313000","69",0.000341195648409176,255756.611995706
"08313000_70","08313000","70",0.00115852130687133,255429.00424512
"08313000_71","08313000","71",0.00115852130687255,254496.788854896
"08313000_96","08313000","96",0.0895544240754349,216033.243711031
"08313000_97","08313000","97",0.110722313816985,214775.08522728
"08313000_98","08313000","98",0.0965720543173179,213611.080897136
"08313000_99","08313000","99",0.0925538140937432,212639.176258981
"08317400_100","08317400","100",0.0297565411539198,179041.583935176
"08317400_101","08317400","101",0.0355888183117705,177790.901092228
"08317400_102","08317400","102",0.113286131739555,176929.08150862
"08317400_103","08317400","103",0.130475043632537,175779.229502532
"08317400_133","08317400","133",0.0424923829487943,137071.592433633
"08317400_134","08317400","134",0.0410420364652255,135650.010332053
"08317400_135","08317400","135",0.0636574190388068,134331.535112785
"08317400_136","08317400","136",0.0843294268216791,132755.369871934
"08317400_137","08317400","137",0.0881286143851855,131191.155317136
"08317400_138","08317400","138",0.0986206497164627,129781.671694494
"08317400_151","08317400","151",0.0557835728091006,112176.674427972
"08317400_158","08317400","158",0.0148941784517939,102520.891379515
"08317400_161","08317400","161",0.145708823464241,98001.2029118486
"08317400_162","08317400","162",0.120317446466219,96450.3620153973
"08317400_163","08317400","163",0.104290925838425,95074.0060894754
"08317400_164","08317400","164",0.0959239596934577,93574.3674426834
"08317400_165","08317400","165",0.167463771367066,92242.8696564089
"08317400_63","08317400","63",5.71550845317459e-05,232300.174264504
"08317400_64","08317400","64",5.71550845309687e-05,230775.044618338
"08317400_65","08317400","65",2.53480434156961e-05,229321.107872857
"08317400_66","08317400","66",0.000412455860545613,227705.797509512
"08317400_67","08317400","67",0.000412455860546057,226590.937777628
"08317400_68","08317400","68",0.000913708084179676,225075.106369082
"08317400_69","08317400","69",0.00037437419281372,223671.969388322
"08317400_70","08317400","70",0.00122331784365604,223400.913460245
"08317400_71","08317400","71",0.00122331784365537,222519.707024288
"08317400_82","08317400","82",0.0125564014883823,204004.406628965
"08317400_83","08317400","83",0.0134411510715051,202278.655176612
"08317400_84","08317400","84",0.0154311127396354,200572.375878118
"08317400_85","08317400","85",0.0170955714336979,198771.712341801
"08317400_86","08317400","86",0.0195623485547454,197082.210323431
"08317400_87","08317400","87",0.0213114007356572,195362.850750584
"08317400_88","08317400","88",0.0206631895209282,193895.867374
"08317400_90","08317400","90",0.0236932899119143,191202.32951336
"08317400_93","08317400","93",0.038973253849185,187612.901360994
"08317400_94","08317400","94",0.0445576622575425,186658.258828802
"08317400_95","08317400","95",0.0650292435330914,185248.952068535
"08317400_96","08317400","96",0.0744740379119215,183949.961593202
"08317400_97","08317400","97",0.0931731462542741,182674.066679164
"08317400_98","08317400","98",0.0821167761633228,181486.486644896
"08317400_99","08317400","99",0.0780294964947249,180477.847427001
"08319000_100","08319000","100",0.000481167661269044,157634.02476596
"08319000_101","08319000","101",-0.00208126955280097,156377.456818542
"08319000_102","08319000","102",0.117992471705976,155485.546118759
"08319000_103","08319000","103",0.136485925397098,154312.178240072
"08319000_104","08319000","104",0.167648281534517,153081.450377486
"08319000_135","08319000","135",0.0904129168772208,112712.752715824
"08319000_136","08319000","136",0.104022659939563,111138.954779422
"08319000_137","08319000","137",0.108581481173776,109575.23465222
"08319000_138","08319000","138",0.121510682068762,108143.548700769
"08319000_158","08319000","158",0.0101332915300502,80755.8217804778
"08319000_161","08319000","161",0.130638436870969,76227.154014014
"08319000_165","08319000","165",0.39668221047989,70403.1929601475
"08319000_63","08319000","63",0.000113047759533136,210900.605364679
"08319000_64","08319000","64",0.000113047759534246,209391.582984594
"08319000_65","08319000","65",3.39705580987282e-06,207953.189356707
"08319000_66","08319000","66",0.000291571399795409,206338.828459081
"08319000_67","08319000","67",0.000291571399794521,205196.610259263
"08319000_68","08319000","68",0.000724182108629901,203667.744825537
"08319000_69","08319000","69",0.000278123222987259,202288.981472775
"08319000_70","08319000","70",0.00104042371311863,202061.696274437
"08319000_71","08319000","71",0.00104042371312041,201220.565570036
"08319000_92","08319000","92",0.0308256956022793,167582.048164499
"08319000_93","08319000","93",0.0367907521373473,166295.744596692
"08319000_96","08319000","96",0.0828760376820424,162600.321126124
"08319000_97","08319000","97",0.10090310417626,161311.341162704
"08319000_98","08319000","98",0.088720508773271,160105.82509338
"08319000_99","08319000","99",0.0378218771391345,159068.369149984
"08329918_100","08329918","100",0.0409461173326451,126881.590678083
"08329918_101","08329918","101",0.0398760079499338,125614.112216641
"08329918_102","08329918","102",0.158358510159634,124637.845194087
"08329918_104","08329918","104",0.214806236842703,122107.062710784
"08329918_133","08329918","133",0.0403519960422739,84433.6218255454
"08329918_134","08329918","134",0.0390084075162287,82988.0648529012
"08329918_135","08329918","135",0.180154923250442,81572.101630627
"08329918_136","08329918","136",0.12080264266602,80020.8954005057
"08329918_137","08329918","137",0.13067641664846,78473.4420049755
"08329918_138","08329918","138",0.161741687728008,76972.5915691324
"08329918_151","08329918","151",0.0705376930927279,59348.96067317
"08329918_152","08329918","152",0.0120082811648681,57847.9171714663
"08329918_153","08329918","153",0.00150481372387345,56477.9871260861
"08329918_154","08329918","154",0.00230141216772595,55052.4718373193
"08329918_155","08329918","155",0.00110542652480206,53662.3590174679
"08329918_157","08329918","157",0.00227701611606468,50838.7277253511
"08329918_158","08329918","158",0.00151550409624912,49380.9722946847
"08329918_159","08329918","159",0.0169149367886255,47873.6135322706
"08329918_162","08329918","162",0.10507164480167,43427.5243409654
"08329918_163","08329918","163",0.0869419445393577,41902.0906520693
"08329918_164","08329918","164",0.0750768297379378,40311.207240422
"08329918_165","08329918","165",0.150987456710597,38807.0965781604
"08329918_60","08329918","60",0.132752930353276,183202.258810051
"08329918_61","08329918","61",0.438915187003457,182301.124312258
"08329918_62","08329918","62",0.309976792618095,181191.054379424
"08329918_63","08329918","63",0.0145462466717375,179981.587840976
"08329918_64","08329918","64",0.0145462466717363,178519.54437148
"08329918_65","08329918","65",0.0211500377190676,177126.472994204
"08329918_66","08329918","66",0.0279904597030274,175519.048317708
"08329918_67","08329918","67",0.0279904597030282,174306.533739325
"08329918_68","08329918","68",0.0346001759576307,172746.575276809
"08329918_69","08329918","69",0.01293340892898,171437.506639249
"08329918_70","08329918","70",0.020792151966099,171328.274714901
"08329918_71","08329918","71",0.0207921519660994,170596.198701098
"08329918_74","08329918","74",0.00213839039583708,165721.610534456
"08329918_75","08329918","75",0.00251641159407556,163952.015616622
"08329918_76","08329918","76",0.000614298907203326,162433.656276026
"08329918_77","08329918","77",0.000614663191998766,160689.303651743
"08329918_78","08329918","78",0.000750274361719261,159244.565524891
"08329918_79","08329918","79",0.000739171629514757,157717.392683376
"08329918_80","08329918","80",0.00128494950502389,156038.368509481
"08329918_81","08329918","81",0.00224773719160554,154485.077221021
"08329918_82","08329918","82",0.00393764195187363,152655.202233277
"08329918_83","08329918","83",0.00545900066504335,150946.490241268
"08329918_84","08329918","84",0.00900434235132774,149168.627228732
"08329918_85","08329918","85",0.00806545284944471,147356.185376702
"08329918_86","08329918","86",0.00967515581601486,145587.02930452
"08329918_87","08329918","87",0.0128240067305416,143808.088537199
"08329918_92","08329918","92",0.0288594918541624,137085.873794483
"08329918_93","08329918","93",0.0281959676262431,135759.269513554
"08329918_94","08329918","94",0.0348399616155737,134689.123908651
"08329918_95","08329918","95",0.0443620984033707,133305.428826592
"08329918_96","08329918","96",0.0392620097359561,131990.208974037
"08329918_97","08329918","97",0.053931548657279,130670.263698748
"08329918_98","08329918","98",0.0499558867960055,129419.174425743
"08329918_99","08329918","99",0.0270325253499029,128303.240720052
"08329928_100","08329928","100",0.0116227508376266,125018.748386376
"08329928_101","08329928","101",0.016650633052936,123750.977513067
"08329928_102","08329928","102",0.0854841865967346,122770.740843466
"08329928_103","08329928","103",0.0997323719050149,121530.072811413
"08329928_104","08329928","104",0.119824681266838,120234.242765523
"08329928_105","08329928","105",0.218414277437831,118798.961703021
"08329928_133","08329928","133",0.0549506504950504,82566.9012830326
"08329928_134","08329928","134",0.054011421769168,81121.0369397967
"08329928_135","08329928","135",0.163781124499487,79701.6170391223
"08329928_136","08329928","136",0.133374721647827,78152.2645701037
"08329928_137","08329928","137",0.14589874918183,76606.3615142327
"08329928_138","08329928","138",0.177969952955484,75102.3340574725
"08329928_151","08329928","151",0.0804316799770912,57490.3697751698
"08329928_152","08329928","152",0.0701465505580136,55990.6514673868
"08329928_153","08329928","153",0.0576813319464554,54613.9838881629
"08329928_154","08329928","154",0.0607366639131769,53184.304877909
"08329928_156","08329928","156",0.00406163181160479,50393.8468116567
"08329928_159","08329928","159",0.0291845412324314,46009.5953986929
"08329928_161","08329928","161",0.175641256568714,43030.6471074458
"08329928_162","08329928","162",0.102689831602099,41577.8792904165
"08329928_163","08329928","163",0.0852177966766022,40045.8214266493
"08329928_164","08329928","164",0.0740653760262183,38451.8864452459
"08329928_165","08329928","165",0.154656069878907,36939.3530812901
"08329928_63","08329928","63",0.000819790104162665,178104.077801823
"08329928_64","08329928","64",0.000819790104162221,176644.266916621
"08329928_65","08329928","65",0.000278144519113455,175253.368650086
"08329928_66","08329928","66",2.03482602245675e-06,173646.409953481
"08329928_67","08329928","67",2.03482602345595e-06,172430.827148361
"08329928_68","08329928","68",6.56399240815952e-05,170869.612754799
"08329928_69","08329928","69",1.60051617237311e-05,169563.822015296
"08329928_70","08329928","70",0.000401834464449635,169460.009200929
"08329928_71","08329928","71",0.000401834464450523,168733.076598488
"08329928_74","08329928","74",0.00892691805338497,163867.230541139
"08329928_75","08329928","75",0.00905656481052808,162099.951496069
"08329928_76","08329928","76",0.00740627733015198,160585.688969418
"08329928_77","08329928","77",0.0074718884265299,158844.097054831
"08329928_78","08329928","78",0.00849817674832376,157399.984515643
"08329928_79","08329928","79",0.00786068457175915,155873.660230909
"08329928_80","08329928","80",0.00860402235655433,154197.884849603
"08329928_81","08329928","81",0.00982422856725451,152646.459489586
"08329928_82","08329928","82",0.0127821738540231,150815.624936734
"08329928_83","08329928","83",0.013435884285012,149107.935656911
"08329928_84","08329928","84",0.0155701359834618,147327.901597812
"08329928_85","08329928","85",0.0177768887751701,145515.473038802
"08329928_86","08329928","86",0.0202913789983964,143743.84929455
"08329928_87","08329928","87",0.0220170195857281,141963.174421046
"08329928_88","08329928","88",0.0208735223978845,140475.821694742
"08329928_89","08329928","89",0.0223210964410285,139035.01811264
"08329928_92","08329928","92",0.0348335203196061,135233.790427987
"08329928_93","08329928","93",0.0401675097081479,133905.432640321
"08329928_94","08329928","94",0.0450464305176204,132831.327152563
"08329928_95","08329928","95",0.0681860243567394,131448.913242965
"08329928_96","08329928","96",0.0717082505604028,130133.431318658
"08329928_97","08329928","97",0.0916034156926013,128812.203164119
"08329928_98","08329928","98",0.0810718881732029,127559.096217925
"08329928_99","08329928","99",0.00422175930294533,126439.501632136
"08330000_100","08330000","100",0.0686808484519339,114401.775575704
"08330000_101","08330000","101",-0.00843896859390703,113133.517205765
"08330000_102","08330000","102",0.021670273597023,112146.093169963
"08330000_103","08330000","103",0.0283341626863486,110900.462251907
"08330000_104","08330000","104",0.0368812956215774,109600.137647483
"08330000_105","08330000","105",0.109132083042519,108165.325576007
"08330000_133","08330000","133",0.0574972969451317,71945.6997415888
"08330000_134","08330000","134",0.0565648518171878,70499.4121076908
"08330000_135","08330000","135",0.158431613574826,69073.8043066235
"08330000_136","08330000","136",0.132506099813775,67527.9755550173
"08330000_137","08330000","137",0.143777556838713,65985.1693712872
"08330000_138","08330000","138",0.170720814666774,64475.4169102167
"08330000_151","08330000","151",0.0819520992169243,46891.2000306914
"08330000_152","08330000","152",0.0671080339560621,45395.1518694175
"08330000_153","08330000","153",0.0558112228927192,44003.5366306513
"08330000_154","08330000","154",0.0593018836422851,42565.4310797715
"08330000_155","08330000","155",0.0225199873257056,41195.418579719
"08330000_156","08330000","156",0.00378790777591498,39781.2083485132
"08330000_159","08330000","159",0.0278784959327825,35402.5634550571
"08330000_161","08330000","161",0.171097714279258,32442.0018690332
"08330000_162","08330000","162",0.113019840401692,31011.6341579276
"08330000_163","08330000","163",0.0935077765589049,29462.5142204118
"08330000_164","08330000","164",0.0792400721698028,27861.8477706075
"08330000_165","08330000","165",0.161932462614709,26329.139913637
"08330000_63","08330000","63",7.32757452425181e-05,167461.965600125
"08330000_64","08330000","64",7.32757452438504e-05,166005.260145964
"08330000_65","08330000","65",1.5895556070511e-05,164617.562696341
"08330000_66","08330000","66",0.00036852693931011,163011.333032356
"08330000_67","08330000","67",0.00036852693931011,161791.268318283
"08330000_68","08330000","68",0.000844959594436312,160228.329550207
"08330000_69","08330000","69",0.000296457085199986,158927.236663045
"08330000_70","08330000","70",0.00106452320891781,158831.977918971
"08330000_71","08330000","71",0.00106452320891803,158114.029783102
"08330000_74","08330000","74",0.0109581872322653,153265.270914791
"08330000_75","08330000","75",0.0110260598060039,151502.873819952
"08330000_76","08330000","76",0.00924386134555288,149997.499925278
"08330000_77","08330000","77",0.00921616921747603,148262.149219713
"08330000_78","08330000","78",0.0103656261327749,146819.53021396
"08330000_79","08330000","79",0.00953085054822278,145295.22692006
"08330000_80","08330000","80",0.010336416819316,143627.110502552
"08330000_81","08330000","81",0.011581045924244,142080.222825781
"08330000_82","08330000","82",0.0146708343644704,140247.214374633
"08330000_83","08330000","83",0.0150947289123182,138542.08791326
"08330000_84","08330000","84",0.017044252441477,136756.995728066
"08330000_85","08330000","85",0.0194956596007911,134944.721956851
"08330000_86","08330000","86",0.0221503385741678,133167.427568281
"08330000_87","08330000","87",0.0237778847262513,131382.868971583
"08330000_88","08330000","88",0.0226122706094362,129894.789921326
"08330000_89","08330000","89",0.0239013332305017,128452.123103578
"08330000_92","08330000","92",0.0358663198114703,124637.992873628
"08330000_93","08330000","93",0.0418623464425416,123305.985736848
"08330000_94","08330000","94",0.0475449462290606,122223.789303844
"08330000_95","08330000","95",0.0718287667385646,120844.046120448
"08330000_96","08330000","96",0.0823516872664427,119528.102377669
"08330000_97","08330000","97",0.102549308434759,118204.350101817
"08330000_98","08330000","98",0.0899436432883437,116947.307515831
"08330000_99","08330000","99",0.0786806355193418,115820.782036028
"08330875_100","08330875","100",0.0667928691881128,98761.6705911958
"08330875_101","08330875","101",-0.00375400802264325,97495.2040166555
"08330875_102","08330875","102",0.0315967643342953,96532.2033976175
"08330875_103","08330875","103",0.0396260221331287,95305.9112069279
"08330875_104","08330875","104",0.0499288547654935,94025.2760574896
"08330875_105","08330875","105",0.137832234172016,92588.8402142611
"08330875_133","08330875","133",0.0545829453379718,56336.6214973884
"08330875_134","08330875","134",0.0537661270555684,54893.0090965674
"08330875_135","08330875","135",0.163767793288347,53493.8026465272
"08330875_136","08330875","136",0.134106903802213,51934.5413877633
"08330875_137","08330875","137",0.147031231357077,50380.8814634643
"08330875_138","08330875","138",0.179074735683141,48896.1295815106
"08330875_151","08330875","151",0.0786985653366437,31234.3623827409
"08330875_152","08330875","152",0.0693036606128171,29729.6586103986
"08330875_153","08330875","153",0.0591457995313527,28390.1793218864
"08330875_154","08330875","154",0.0618146603444302,26990.5521475598
"08330875_155","08330875","155",0.0231670756560797,25568.6851964648
"08330875_156","08330875","156",0.00392637884054758,24188.3114647232
"08330875_157","08330875","157",0.00683629718256651,22793.888290082
"08330875_159","08330875","159",0.0307833672076188,19803.4481987316
"08330875_161","08330875","161",0.170282191792258,16787.9542870985
"08330875_162","08330875","162",0.111748969111765,15297.7718950418
"08330875_163","08330875","163",0.0928728296170773,13805.1045302336
"08330875_164","08330875","164",0.078743133581584,12240.1671006798
"08330875_165","08330875","165",0.158293996041849,10824.1929019592
"08330875_63","08330875","63",7.91536686164385e-05,151913.280899694
"08330875_64","08330875","64",7.91536686156613e-05,150440.751173111
"08330875_65","08330875","65",1.31733330996919e-05,149038.262695365
"08330875_66","08330875","66",0.000353689921145151,147429.031422774
"08330875_67","08330875","67",0.000353689921145039,146230.152498532
"08330875_68","08330875","68",0.000821157457068011,144676.375938187
"08330875_69","08330875","69",0.000266314840705939,143352.311603245
"08330875_70","08330875","70",0.000999739084221241,143221.915546019
"08330875_71","08330875","71",0.000999739084221241,142473.821409059
"08330875_74","08330875","74",0.0106984941368232,137580.00022579
"08330875_75","08330875","75",0.0107895153144846,135806.805262789
"08330875_76","08330875","76",0.00977283992505318,134283.448142662
"08330875_77","08330875","77",0.00978097527975752,132536.706507746
"08330875_78","08330875","78",0.0109706434735382,131091.539390467
"08330875_79","08330875","79",0.0101474663831186,129563.839075229
"08330875_80","08330875","80",0.0108996316196944,127883.392535789
"08330875_81","08330875","81",0.0120485645288504,126329.725494295
"08330875_82","08330875","82",0.0150820561534373,124500.009807774
"08330875_83","08330875","83",0.0152983794338749,122791.134915358
"08330875_84","08330875","84",0.0165808309918851,121013.746582634
"08330875_85","08330875","85",0.0191485606345791,119201.307001096
"08330875_86","08330875","86",0.0217087992228993,117433.244430198
"08330875_87","08330875","87",0.0231978338445518,115655.443560654
"08330875_88","08330875","88",0.0219438950644294,114168.740823819
"08330875_89","08330875","89",0.0230237119774912,112729.522795344
"08330875_92","08330875","92",0.0351347101970489,108941.427214347
"08330875_93","08330875","93",0.0405676107365246,107617.737569221
"08330875_94","08330875","94",0.0459553039464038,106555.496945282
"08330875_95","08330875","95",0.0689989405144197,105169.124447099
"08330875_96","08330875","96",0.0770402437066396,103854.530738884
"08330875_97","08330875","97",0.0982164052490452,102537.494324457
"08330875_98","08330875","98",0.0865495214006017,101291.388749579
"08330875_99","08330875","99",0.0765100986858698,100185.874829331
"08331160_133","08331160","133",0.038370471620673,47349.0499074634
"08331160_134","08331160","134",0.0373910621054556,45902.9179843705
"08331160_151","08331160","151",0.0770861493779866,22300.678472779
"08331160_152","08331160","152",0.0583437360934208,20808.9481902608
"08331160_153","08331160","153",0.0268976586419507,19406.3951665299
"08331160_154","08331160","154",0.0307030240966923,17967.3087147739
"08331160_155","08331160","155",0.0214021212327585,16602.3058574126
"08331160_156","08331160","156",0.00122586608987663,15183.7565931893
"08331160_157","08331160","157",0.0186726609674617,13751.8759277958
"08331160_158","08331160","158",0.0296355362694892,12312.2885389958
"08331160_159","08331160","159",0.0139120090853362,10810.8015529531
"08331160_160","08331160","160",0.0268766002673319,9328.79782482192
"08331160_161","08331160","161",0.0491237955990356,7896.81234062094
"08331160_74","08331160","74",0.0161770022328104,128667.64394776
"08331160_75","08331160","75",0.016240344476627,126906.45417841
"08331160_76","08331160","76",0.0105743199517895,125404.541720208
"08331160_77","08331160","77",0.00944510883706817,123672.498313666
"08331160_78","08331160","78",0.0105094876502128,122230.802774465
"08331160_79","08331160","79",0.00879193066630835,120707.798215756
"08331160_80","08331160","80",0.0102452225966861,119045.004732387
"08331160_81","08331160","81",0.0123715072069897,117501.687717633
"08331160_82","08331160","82",0.0157459369418923,115667.092836931
"08331160_83","08331160","83",0.0158051881787153,113964.106256342
"08331160_84","08331160","84",0.0205327624357617,112175.192975117
"08331160_85","08331160","85",0.0202775672598809,110363.149961079
"08331160_86","08331160","86",0.0229954102803336,108581.87850271
"08331160_87","08331160","87",0.0261758777534356,106794.859343398
"08331160_88","08331160","88",0.0282637023977192,105306.395385208
"08331160_91","08331160","91",0.0394182561713831,101430.200527593
"08331160_92","08331160","92",0.0365271458440305,100042.391827591
"08331160_93","08331160","93",0.0362907008120953,98709.2238645728
"08331160_94","08331160","94",0.0473156842985605,97625.5533063835
"08331160_95","08331160","95",0.0658962882497759,96246.1198607217
"08331160_96","08331160","96",0.043277377100401,94930.1168581863
"08331160_97","08331160","97",0.0608341346849676,93606.1023644939
"08331160_98","08331160","98",0.0280935985136892,92349.0177989236
"08331160_99","08331160","99",0.226671514470393,91223.706055302
"08331510_133","08331510","133",0.037714901792944,11106.6376928506
"08331510_134","08331510","134",0.0367019186788387,9691.44596936583
"08331510_73","08331510","73",0.000884262660954871,93760.9370926219
"08331510_74","08331510","74",0.020360095942185,92235.2490548603
"08331510_75","08331510","75",0.0208359442254018,90466.8763336758
"08331510_76","08331510","76",0.0142665450384435,88955.8619800073
"08331510_77","08331510","77",0.0131014686614384,87220.1196286889
"08331510_78","08331510","78",0.0139999898853086,85777.8177569867
"08331510_79","08331510","79",0.0124497559603984,84254.1898867172
"08331510_80","08331510","80",0.0142081152588155,82590.9145465741
"08331510_81","08331510","81",0.0166984484784257,81048.5910983306
"08331510_82","08331510","82",0.019991985258707,79213.4756043144
"08331510_83","08331510","83",0.0199304270348715,77511.2977003713
"08331510_84","08331510","84",0.0237134694042348,75721.1893283876
"08331510_85","08331510","85",0.0235702319734151,73909.2056398453
"08331510_86","08331510","86",0.0267047177034869,72127.7393327003
"08331510_87","08331510","87",0.0301754582985163,70341.4408280593
"08331510_88","08331510","88",0.0322674021085154,68853.162167094
"08331510_91","08331510","91",0.0474650386212788,64985.2005276038
"08331510_92","08331510","92",0.0432670926029208,63600.7210910055
"08331510_93","08331510","93",0.0420756909580509,62272.9598272132
"08331510_94","08331510","94",0.0552890190072356,61205.8548702765
"08331510_95","08331510","95",0.0708198841397391,59820.3234278626
"08331510_96","08331510","96",0.130910323249099,58505.4558811082
"08331510_97","08331510","97",0.14525353382631,57187.695244029
"08331510_98","08331510","98",0.210995247707938,55941.9824125743
"08331510_99","08331510","99",0.191225458993938,54842.1146885999
"08354900_100","08354900","100",0.0535927168986372,20456.8223303156
"08354900_101","08354900","101",-0.000913147722265695,19214.4639708749
"08354900_102","08354900","102",0.0149926392200909,18033.3230033406
"08354900_103","08354900","103",0.0205393331564473,16667.5126914819
"08354900_104","08354900","104",0.0276970328324481,15259.7077750121
"08354900_105","08354900","105",0.081418405054189,13871.5437608446
"08354900_63","08354900","63",2.56418537625258e-05,72818.7371098304
"08354900_64","08354900","64",2.56418537618597e-05,71384.9926583221
"08354900_65","08354900","65",5.77452914267695e-05,70024.8944133807
"08354900_66","08354900","66",0.000522705740056306,68426.5872170395
"08354900_67","08354900","67",0.000522705740056528,67168.97475683
"08354900_68","08354900","68",0.00107703106430168,65593.6616047706
"08354900_69","08354900","69",0.000454039481354473,64332.2936531343
"08354900_70","08354900","70",0.00136012000395858,64324.4231209815
"08354900_71","08354900","71",0.0013601200039588,63715.2263637706
"08354900_74","08354900","74",0.0133866433309703,59124.6596417947
"08354900_75","08354900","75",0.0134691779585532,57448.9036283821
"08354900_76","08354900","76",0.0111771905435719,56099.2416508409
"08354900_77","08354900","77",0.0111094891410963,54486.9229677835
"08354900_78","08354900","78",0.0122121479651018,53087.0574224393
"08354900_79","08354900","79",0.0110380395753535,51618.0778476756
"08354900_80","08354900","80",0.0114636299193878,50115.36065922
"08354900_81","08354900","81",0.0128393005977989,48681.5214500767
"08354900_82","08354900","82",0.0157833599702361,46840.3000307094
"08354900_83","08354900","83",0.0155687162630891,45221.1019282404
"08354900_84","08354900","84",0.0178298096728814,43370.2991837162
"08354900_85","08354900","85",0.0207318101935788,41601.9283031375
"08354900_86","08354900","86",0.0235723880982825,39743.9312439254
"08354900_87","08354900","87",0.0250828176578357,37916.0392891119
"08354900_88","08354900","88",0.0242328621602422,36448.3538833952
"08354900_89","08354900","89",0.0263422828699672,35000.2657182147
"08354900_91","08354900","91",0.0304548529710692,32395.7419380863
"08354900_92","08354900","92",0.0346842830103791,30977.242649149
"08354900_93","08354900","93",0.0388963889408255,29589.2856600963
"08354900_94","08354900","94",0.0448603745245917,28331.7842050106
"08354900_95","08354900","95",0.0660909066867534,27053.5290530032
"08354900_96","08354900","96",0.0683963999277268,25761.8432791688
"08354900_97","08354900","97",0.0849515085794585,24407.7974463363
"08354900_98","08354900","98",0.0758327507251714,23077.4115278618
"08354900_99","08354900","99",0.0636884208806885,21785.8982832135
