"","gauge_RM","gauge","RM","deviance","distance"
"1","08313000_100","08313000","100",245.91709419538,211202.253021852
"2","08313000_101","08313000","101",177.498627991217,209960.301973641
"3","08313000_102","08313000","102",172.511303989349,209136.468928182
"4","08313000_103","08313000","103",166.5313633913,208016.827631084
"5","08313000_104","08313000","104",160.801030783363,206837.938117901
"6","08313000_105","08313000","105",130.067044791225,205409.24450571
"7","08313000_132","08313000","132",157.024381749786,170927.423335759
"8","08313000_133","08313000","133",369.295464255718,169499.0786675
"9","08313000_134","08313000","134",367.786676907177,168088.515294197
"10","08313000_135","08313000","135",363.326741576033,166798.860768438
"11","08313000_136","08313000","136",348.792354165133,165222.000325028
"12","08313000_137","08313000","137",280.565598904202,163659.261759483
"13","08313000_138","08313000","138",97.0603996100719,162276.755449823
"14","08313000_151","08313000","151",284.500825590305,144744.3346621
"15","08313000_152","08313000","152",364.281900786217,143252.592908456
"16","08313000_153","08313000","153",370.099170266944,142076.12827065
"17","08313000_154","08313000","154",366.075987007202,140783.67143265
"18","08313000_155","08313000","155",445.987446376139,139290.76143756
"19","08313000_156","08313000","156",431.30428987708,138008.179585977
"20","08313000_157","08313000","157",443.950041028548,136702.399250654
"21","08313000_158","08313000","158",496.614019145909,135188.797304742
"22","08313000_159","08313000","159",492.569884661478,133711.648291013
"23","08313000_160","08313000","160",459.651151242352,132164.108368203
"24","08313000_161","08313000","161",446.292411192113,130683.95884422
"25","08313000_162","08313000","162",461.819418097449,129125.520819943
"26","08313000_163","08313000","163",417.25789299326,127779.287488246
"27","08313000_164","08313000","164",352.111669685357,126300.241791245
"28","08313000_165","08313000","165",202.264103740641,124999.61457853
"29","08313000_57","08313000","57",56.0612938078558,272861.323058876
"30","08313000_60","08313000","60",81.4709575762628,267934.212159015
"31","08313000_61","08313000","61",58.5445940703244,266922.143677343
"32","08313000_62","08313000","62",54.489281595505,265699.797226367
"33","08313000_63","08313000","63",143.404155988285,264399.483843475
"34","08313000_64","08313000","64",143.404155988285,262854.449639602
"35","08313000_65","08313000","65",127.547763149649,261381.384100034
"36","08313000_66","08313000","66",123.993144070329,259766.185815848
"37","08313000_67","08313000","67",123.993144070329,258687.918472842
"38","08313000_68","08313000","68",115.92939278836,257190.310081775
"39","08313000_69","08313000","69",104.015719488157,255756.611995706
"40","08313000_70","08313000","70",100.197705010407,255429.00424512
"41","08313000_71","08313000","71",100.197705010407,254496.788854896
"42","08313000_73","08313000","73",454.564700789997,250957.973060997
"43","08313000_74","08313000","74",377.181556680494,249320.173585135
"44","08313000_75","08313000","75",378.343993184271,247477.273355445
"45","08313000_76","08313000","76",467.965688976675,245815.94670461
"46","08313000_77","08313000","77",475.992913063094,243983.843432054
"47","08313000_78","08313000","78",465.884309306605,242530.43605723
"48","08313000_79","08313000","79",473.91149239502,240987.410110049
"49","08313000_80","08313000","80",471.006714889203,239204.577859516
"50","08313000_81","08313000","81",471.705551632685,237599.163939901
"51","08313000_82","08313000","82",453.069679532515,235826.121625072
"52","08313000_83","08313000","83",467.060343336372,234099.550586844
"53","08313000_84","08313000","84",397.472005662436,232422.880171701
"54","08313000_85","08313000","85",363.558197949837,230631.565322448
"55","08313000_86","08313000","86",347.266267953248,228974.106217158
"56","08313000_87","08313000","87",341.801794208171,227279.902871224
"57","08313000_88","08313000","88",325.86437580656,225823.957003161
"58","08313000_89","08313000","89",321.083602500873,224432.740021541
"59","08313000_90","08313000","90",309.060218313088,223159.175355379
"60","08313000_91","08313000","91",319.549712487972,222217.099645812
"61","08313000_92","08313000","92",309.034969293108,220898.790856049
"62","08313000_93","08313000","93",287.388436218878,219651.394948803
"63","08313000_94","08313000","94",258.535246077396,218736.964356758
"64","08313000_95","08313000","95",266.759350671412,217323.322452766
"65","08313000_96","08313000","96",286.548796572414,216033.243711031
"66","08313000_97","08313000","97",287.958847130211,214775.08522728
"67","08313000_98","08313000","98",317.166464554732,213611.080897136
"68","08313000_99","08313000","99",296.854002484374,212639.176258981
"69","08317400_100","08317400","100",255.057389137311,179041.583935176
"70","08317400_101","08317400","101",184.258815521191,177790.901092228
"71","08317400_102","08317400","102",178.642563470945,176929.08150862
"72","08317400_103","08317400","103",172.460818175794,175779.229502532
"73","08317400_104","08317400","104",166.526268952325,174571.158886781
"74","08317400_105","08317400","105",134.651457102078,173138.041814897
"75","08317400_132","08317400","132",160.900778267229,138519.503991959
"76","08317400_133","08317400","133",382.381804362903,137071.592433633
"77","08317400_134","08317400","134",379.917451115527,135650.010332053
"78","08317400_135","08317400","135",374.074473247942,134331.535112785
"79","08317400_136","08317400","136",355.947902358395,132755.369871934
"80","08317400_137","08317400","137",286.282615451689,131191.155317136
"81","08317400_138","08317400","138",99.256215417261,129781.671694494
"82","08317400_151","08317400","151",290.925687613005,112176.674427972
"83","08317400_152","08317400","152",360.90825761694,110677.93649781
"84","08317400_153","08317400","153",366.281023406414,109465.222110106
"85","08317400_154","08317400","154",361.983159327723,108146.801426169
"86","08317400_155","08317400","155",442.737617431406,106665.1908691
"87","08317400_156","08317400","156",430.790917191105,105359.161195258
"88","08317400_157","08317400","157",444.986560074088,104031.220154207
"89","08317400_158","08317400","158",498.530517721354,102520.891379515
"90","08317400_159","08317400","159",496.076636939125,101034.011606463
"91","08317400_160","08317400","160",466.444132931294,99485.6327136888
"92","08317400_161","08317400","161",455.966598148175,98001.2029118486
"93","08317400_162","08317400","162",478.137436540242,96450.3620153973
"94","08317400_163","08317400","163",431.33843298186,95074.0060894754
"95","08317400_164","08317400","164",362.660363396885,93574.3674426834
"96","08317400_165","08317400","165",207.582642564949,92242.8696564089
"97","08317400_57","08317400","57",57.1049572821305,240667.366373199
"98","08317400_60","08317400","60",81.8886750721281,235756.390969777
"99","08317400_61","08317400","61",59.3245129963111,234772.364163492
"100","08317400_62","08317400","62",55.4057217017229,233578.144228818
"101","08317400_63","08317400","63",143.424021489117,232300.174264504
"102","08317400_64","08317400","64",143.424021489117,230775.044618338
"103","08317400_65","08317400","65",127.515804014705,229321.107872857
"104","08317400_66","08317400","66",123.904057275069,227705.797509512
"105","08317400_67","08317400","67",123.904057275069,226590.937777628
"106","08317400_68","08317400","68",115.811817576597,225075.106369082
"107","08317400_69","08317400","69",103.929624245041,223671.969388322
"108","08317400_70","08317400","70",100.046507394726,223400.913460245
"109","08317400_71","08317400","71",100.046507394726,222519.707024288
"110","08317400_73","08317400","73",454.527104444262,219024.428651959
"111","08317400_74","08317400","74",373.705244455472,217413.68338856
"112","08317400_75","08317400","75",375.09296887469,215586.67819294
"113","08317400_76","08317400","76",465.478595272859,213959.603973013
"114","08317400_77","08317400","77",473.739448260177,212146.867137421
"115","08317400_78","08317400","78",463.535789410566,210692.859847174
"116","08317400_79","08317400","79",471.648928616919,209150.866891624
"117","08317400_80","08317400","80",469.086997738478,207391.269648687
"118","08317400_81","08317400","81",469.529034293034,205795.931285473
"119","08317400_82","08317400","82",451.384808739317,204004.406628965
"120","08317400_83","08317400","83",464.82371276443,202278.655176612
"121","08317400_84","08317400","84",395.036783638641,200572.375878118
"122","08317400_85","08317400","85",361.921815450486,198771.712341801
"123","08317400_86","08317400","86",346.11482397889,197082.210323431
"124","08317400_87","08317400","87",342.308144474273,195362.850750584
"125","08317400_88","08317400","88",325.842401877255,193895.867374
"126","08317400_89","08317400","89",322.365547461458,192489.33150143
"127","08317400_90","08317400","90",312.720192002882,191202.32951336
"128","08317400_91","08317400","91",326.408024450911,190219.68536985
"129","08317400_92","08317400","92",319.443105724476,188882.554717457
"130","08317400_93","08317400","93",299.851523277581,187612.901360994
"131","08317400_94","08317400","94",270.840164769607,186658.258828802
"132","08317400_95","08317400","95",284.55742893757,185248.952068535
"133","08317400_96","08317400","96",307.140568200849,183949.961593202
"134","08317400_97","08317400","97",306.495015195392,182674.066679164
"135","08317400_98","08317400","98",333.32178442305,181486.486644896
"136","08317400_99","08317400","99",310.126181308936,180477.847427001
"137","08319000_100","08319000","100",245.629163740478,157634.02476596
"138","08319000_101","08319000","101",177.439148667972,156377.456818542
"139","08319000_102","08319000","102",171.983973546504,155485.546118759
"140","08319000_103","08319000","103",166.14578746394,154312.178240072
"141","08319000_104","08319000","104",160.553798669323,153081.450377486
"142","08319000_105","08319000","105",130.167212344855,151645.999307849
"143","08319000_132","08319000","132",154.600485872579,116947.763517668
"144","08319000_133","08319000","133",364.862540286789,115484.494868801
"145","08319000_134","08319000","134",362.390548949093,114054.929651888
"146","08319000_135","08319000","135",357.942317588401,112712.752715824
"147","08319000_136","08319000","136",341.888488215165,111138.954779422
"148","08319000_137","08319000","137",274.988095225434,109575.23465222
"149","08319000_138","08319000","138",95.2070881473061,108143.548700769
"150","08319000_151","08319000","151",278.247176914204,90494.0493612745
"151","08319000_152","08319000","152",368.024022787095,88990.747825338
"152","08319000_153","08319000","153",375.085060763556,87745.6864893202
"153","08319000_154","08319000","154",370.844805949439,86404.5747447139
"154","08319000_155","08319000","155",449.299925474058,84935.2931711219
"155","08319000_156","08319000","156",436.230622885294,83608.7173410174
"156","08319000_157","08319000","157",448.611078879949,82261.3807605567
"157","08319000_158","08319000","158",500.663659605197,80755.8217804778
"158","08319000_159","08319000","159",496.483181902249,79261.3614002232
"159","08319000_160","08319000","160",464.348051833238,77713.9604768968
"160","08319000_161","08319000","161",452.062072881829,76227.154014014
"161","08319000_162","08319000","162",469.760994301489,74685.6402502332
"162","08319000_163","08319000","163",420.877073988786,73281.4851778123
"163","08319000_164","08319000","164",349.822675049246,71763.4011653398
"164","08319000_165","08319000","165",200.913069205559,70403.1929601475
"165","08319000_57","08319000","57",54.7905664188527,219191.68455734
"166","08319000_60","08319000","60",81.0679746871878,214295.310690956
"167","08319000_61","08319000","61",57.6099771191715,213333.033899384
"168","08319000_62","08319000","62",53.2413443243987,212160.8284248
"169","08319000_63","08319000","63",143.402138132931,210900.605364679
"170","08319000_64","08319000","64",143.402138132931,209391.582984594
"171","08319000_65","08319000","65",127.54471239297,207953.189356707
"172","08319000_66","08319000","66",123.965966029903,206338.828459081
"173","08319000_67","08319000","67",123.965966029903,205196.610259263
"174","08319000_68","08319000","68",115.877407977176,203667.744825537
"175","08319000_69","08319000","69",103.992398096643,202288.981472775
"176","08319000_70","08319000","70",100.116182672236,202061.696274437
"177","08319000_71","08319000","71",100.116182672236,201220.565570036
"178","08319000_73","08319000","73",454.52720379632,197761.820491061
"179","08319000_74","08319000","74",383.82587495301,196173.508127525
"180","08319000_75","08319000","75",384.815325276016,194360.508898476
"181","08319000_76","08319000","76",474.925895420443,192761.757539176
"182","08319000_77","08319000","77",483.212839572462,190965.956694681
"183","08319000_78","08319000","78",473.153199173629,189512.883108782
"184","08319000_79","08319000","79",481.029490545821,187973.221273488
"185","08319000_80","08319000","80",478.034599885567,186233.789850995
"186","08319000_81","08319000","81",478.403486361115,184648.113731897
"187","08319000_82","08319000","82",459.607154374513,182843.800574174
"188","08319000_83","08319000","83",473.161048013571,181120.554324928
"189","08319000_84","08319000","84",402.278645862943,179392.495427946
"190","08319000_85","08319000","85",367.797334040078,177586.306469668
"191","08319000_86","08319000","86",351.489325661702,175872.981382583
"192","08319000_87","08319000","87",346.307031877403,174135.29933704
"193","08319000_88","08319000","88",329.561842733584,172661.024960025
"194","08319000_89","08319000","89",324.914539674087,171243.682526567
"195","08319000_90","08319000","90",313.758533886652,169947.24434501
"196","08319000_91","08319000","91",326.074897529967,168932.961452935
"197","08319000_92","08319000","92",317.698362026399,167582.048164499
"198","08319000_93","08319000","93",296.557926483037,166295.744596692
"199","08319000_94","08319000","94",267.152126273806,165309.613851885
"200","08319000_95","08319000","95",277.152960895737,163905.211780904
"201","08319000_96","08319000","96",297.830079800066,162600.321126124
"202","08319000_97","08319000","97",299.487944486515,161311.341162704
"203","08319000_98","08319000","98",326.940771938667,160105.82509338
"204","08319000_99","08319000","99",303.052504259668,159068.369149984
"205","08329918_100","08329918","100",276.487429363929,126881.590678083
"206","08329918_101","08329918","101",198.710990728569,125614.112216641
"207","08329918_102","08329918","102",191.320017173237,124637.845194087
"208","08329918_103","08329918","103",184.550233957025,123400.096835052
"209","08329918_104","08329918","104",178.026330853049,122107.062710784
"210","08329918_105","08329918","105",143.404860318919,120671.517596302
"211","08329918_132","08329918","132",170.295348286247,85938.3762768055
"212","08329918_133","08329918","133",436.895569722306,84433.6218255454
"213","08329918_134","08329918","134",428.303042347416,82988.0648529012
"214","08329918_135","08329918","135",414.997064431016,81572.101630627
"215","08329918_136","08329918","136",380.331125950726,80020.8954005057
"216","08329918_137","08329918","137",306.05883532641,78473.4420049755
"217","08329918_138","08329918","138",107.106253195758,76972.5915691324
"218","08329918_151","08329918","151",328.581757068947,59348.96067317
"219","08329918_152","08329918","152",463.702277873561,57847.9171714663
"220","08329918_153","08329918","153",475.008215088526,56477.9871260861
"221","08329918_154","08329918","154",471.437421708632,55052.4718373193
"222","08329918_155","08329918","155",533.913425836562,53662.3590174679
"223","08329918_156","08329918","156",506.851628846715,52259.5137120149
"224","08329918_157","08329918","157",508.003958901138,50838.7277253511
"225","08329918_158","08329918","158",545.429072858528,49380.9722946847
"226","08329918_159","08329918","159",536.667749228138,47873.6135322706
"227","08329918_160","08329918","160",507.297698040079,46358.9001274558
"228","08329918_161","08329918","161",497.800241596331,44887.9685353169
"229","08329918_162","08329918","162",522.179993995388,43427.5243409654
"230","08329918_163","08329918","163",469.578583637551,41902.0906520693
"231","08329918_164","08329918","164",391.660194310222,40311.207240422
"232","08329918_165","08329918","165",223.708061988469,38807.0965781604
"233","08329918_57","08329918","57",4.43256695552987,188048.420734261
"234","08329918_60","08329918","60",23.1336943808138,183202.258810051
"235","08329918_61","08329918","61",7.19635743830677,182301.124312258
"236","08329918_62","08329918","62",12.6455379843214,181191.054379424
"237","08329918_63","08329918","63",79.3742531793743,179981.587840976
"238","08329918_64","08329918","64",79.3742531793743,178519.54437148
"239","08329918_65","08329918","65",71.8027700709048,177126.472994204
"240","08329918_66","08329918","66",72.0830124678646,175519.048317708
"241","08329918_67","08329918","67",72.0830124678646,174306.533739325
"242","08329918_68","08329918","68",68.3944014700063,172746.575276809
"243","08329918_69","08329918","69",63.5892390881975,171437.506639249
"244","08329918_70","08329918","70",63.9460955571002,171328.274714901
"245","08329918_71","08329918","71",63.9460955571002,170596.198701098
"246","08329918_73","08329918","73",446.770322832206,167245.304109298
"247","08329918_74","08329918","74",414.896625855611,165721.610534456
"248","08329918_75","08329918","75",414.269253851855,163952.015616622
"249","08329918_76","08329918","76",500.826611069337,162433.656276026
"250","08329918_77","08329918","77",509.919157470213,160689.303651743
"251","08329918_78","08329918","78",503.174705633755,159244.565524891
"252","08329918_79","08329918","79",508.678906084376,157717.392683376
"253","08329918_80","08329918","80",506.041013363689,156038.368509481
"254","08329918_81","08329918","81",507.278093376871,154485.077221021
"255","08329918_82","08329918","82",495.131200387205,152655.202233277
"256","08329918_83","08329918","83",514.027729693155,150946.490241268
"257","08329918_84","08329918","84",447.118423963553,149168.627228732
"258","08329918_85","08329918","85",415.462673649656,147356.185376702
"259","08329918_86","08329918","86",402.29101430224,145587.02930452
"260","08329918_87","08329918","87",396.333927351748,143808.088537199
"261","08329918_88","08329918","88",372.508484557169,142321.096045859
"262","08329918_89","08329918","89",361.778946277106,140881.152214483
"263","08329918_90","08329918","90",341.807590127593,139565.206701682
"264","08329918_91","08329918","91",363.49171503258,138468.541448983
"265","08329918_92","08329918","92",377.011383823336,137085.873794483
"266","08329918_93","08329918","93",376.43213144289,135759.269513554
"267","08329918_94","08329918","94",330.603489486827,134689.123908651
"268","08329918_95","08329918","95",356.003496167993,133305.428826592
"269","08329918_96","08329918","96",386.494360647782,131990.208974037
"270","08329918_97","08329918","97",365.114856051981,130670.263698748
"271","08329918_98","08329918","98",377.869694412717,129419.174425743
"272","08329918_99","08329918","99",342.557557331952,128303.240720052
"273","08329928_100","08329928","100",247.411000201248,125018.748386376
"274","08329928_101","08329928","101",182.579601436706,123750.977513067
"275","08329928_102","08329928","102",178.230447348901,122770.740843466
"276","08329928_103","08329928","103",172.516856512793,121530.072811413
"277","08329928_104","08329928","104",167.030190532381,120234.242765523
"278","08329928_105","08329928","105",136.095796781904,118798.961703021
"279","08329928_132","08329928","132",153.526654017869,84073.330221399
"280","08329928_133","08329928","133",370.34813424418,82566.9012830326
"281","08329928_134","08329928","134",364.087518400779,81121.0369397967
"282","08329928_135","08329928","135",354.757069697584,79701.6170391223
"283","08329928_136","08329928","136",328.883082125689,78152.2645701037
"284","08329928_137","08329928","137",264.392491778908,76606.3615142327
"285","08329928_138","08329928","138",92.139072959141,75102.3340574725
"286","08329928_151","08329928","151",271.725884444091,57490.3697751698
"287","08329928_152","08329928","152",366.501570167232,55990.6514673868
"288","08329928_153","08329928","153",370.406136188308,54613.9838881629
"289","08329928_154","08329928","154",366.927723577483,53184.304877909
"290","08329928_155","08329928","155",446.840779293975,51800.3604241515
"291","08329928_156","08329928","156",428.987167328244,50393.8468116567
"292","08329928_157","08329928","157",438.801554251543,48969.5807042334
"293","08329928_158","08329928","158",488.601527078053,47516.2985820603
"294","08329928_159","08329928","159",481.566332271177,46009.5953986929
