site_no,year,discharge_sum
Otowi,2003,176508
Otowi,2004,228411
Otowi,2005,527681
Otowi,2006,209728
Otowi,2007,280972
Otowi,2008,482767
Otowi,2009,383774
Otowi,2010,378102
Otowi,2011,211338
Otowi,2012,208631
Otowi,2013,178249
Otowi,2014,220387
Otowi,2015,279697
Otowi,2016,283277
Otowi,2017,456827
Otowi,2018,168692
Cochiti dam,2003,136888
Cochiti dam,2004,201497
Cochiti dam,2005,497285
Cochiti dam,2006,168749
Cochiti dam,2007,243128
Cochiti dam,2008,470969
Cochiti dam,2009,354860
Cochiti dam,2010,317973
Cochiti dam,2011,179014
Cochiti dam,2012,174608
Cochiti dam,2013,143879
Cochiti dam,2014,177655
Cochiti dam,2015,238045
Cochiti dam,2016,249523
Cochiti dam,2017,424791
Cochiti dam,2018,128067
San Felipe,2003,153040
San Felipe,2004,214643
San Felipe,2005,512981
San Felipe,2006,200232
San Felipe,2007,258113
San Felipe,2008,436009
San Felipe,2009,369936
San Felipe,2010,349744
San Felipe,2011,214493
San Felipe,2012,189871
San Felipe,2013,170389
San Felipe,2014,199067
San Felipe,2015,258376
San Felipe,2016,270626
San Felipe,2017,448128
San Felipe,2018,150212
Alameda bridge,2003,43635
Alameda bridge,2004,173267
Alameda bridge,2005,16316
Alameda bridge,2006,152526
Alameda bridge,2007,222841
Alameda bridge,2008,422477
Alameda bridge,2009,307729
Alameda bridge,2010,299849
Alameda bridge,2011,140074
Alameda bridge,2012,131069
Alameda bridge,2013,144196
Alameda bridge,2014,159507
Alameda bridge,2015,221762
Alameda bridge,2016,232712
Alameda bridge,2017,398897
Alameda bridge,2018,109050
Alameda,2003,54018
Alameda,2004,174822
Alameda,2005,475937
Alameda,2006,161445
Alameda,2007,222713
Alameda,2008,423798
Alameda,2009,308053
Alameda,2010,289413
Alameda,2011,129104
Alameda,2012,116762
Alameda,2013,131459
Alameda,2014,139292
Alameda,2015,207819
Alameda,2016,208223
Alameda,2017,374154
Alameda,2018,89425
Albuquerque,2003,90746
Albuquerque,2004,161772
Albuquerque,2005,463504
Albuquerque,2006,148159
Albuquerque,2007,209867
Albuquerque,2008,405263
Albuquerque,2009,299402
Albuquerque,2010,279791
Albuquerque,2011,120475
Albuquerque,2012,107134
Albuquerque,2013,119002.7
Albuquerque,2014,124008
Albuquerque,2015,196660
Albuquerque,2016,193837
Albuquerque,2017,370638
Albuquerque,2018,82782.8
Isleta Lakes,2003,80366
Isleta Lakes,2004,154647.4
Isleta Lakes,2005,467313
Isleta Lakes,2006,152044
Isleta Lakes,2007,208110
Isleta Lakes,2008,397893
Isleta Lakes,2009,287914
Isleta Lakes,2010,272168
Isleta Lakes,2011,114828
Isleta Lakes,2012,102738.2
Isleta Lakes,2013,115862.7
Isleta Lakes,2014,113821
Isleta Lakes,2015,175244.9
Isleta Lakes,2016,181598.3
Isleta Lakes,2017,351498
Isleta Lakes,2018,72385.6
Bosque Farms,2006,64887.6
Bosque Farms,2007,1581.3
Bosque Farms,2008,313180.2
Bosque Farms,2009,210141.2
Bosque Farms,2010,167942.1
Bosque Farms,2011,41292.3
Bosque Farms,2012,44623.88
Bosque Farms,2013,60457.7
Bosque Farms,2014,61174.4
Bosque Farms,2015,124850.3
Bosque Farms,2016,120834.2
Bosque Farms,2017,302408.3
Bosque Farms,2018,22042.2
State hwy 346,2005,7539
State hwy 346,2006,76478.6
State hwy 346,2007,107437
State hwy 346,2008,312609.8
State hwy 346,2009,211276.4
State hwy 346,2010,168572.5
State hwy 346,2011,28187.62
State hwy 346,2012,36210.04
State hwy 346,2013,49456.38
State hwy 346,2014,44100.71
State hwy 346,2015,114912.17
State hwy 346,2016,106793.3
State hwy 346,2017,297024.9
State hwy 346,2018,14266.22
San Acacia,2003,33853.51
San Acacia,2004,115291.25
San Acacia,2005,382542.7
San Acacia,2006,153568.3
San Acacia,2007,134747.5
San Acacia,2008,339038
San Acacia,2009,199101.5
San Acacia,2010,184174.1
San Acacia,2011,40670.61
San Acacia,2012,47048.94
San Acacia,2013,83861.22
San Acacia,2014,64570.3
San Acacia,2015,135789
San Acacia,2016,112538.4
San Acacia,2017,316638.8
San Acacia,2018,20438.4